LAST SEEN   TYPE      REASON              OBJECT                                  MESSAGE
37m         Normal    Scheduled           pod/backend-deploy-6dd658b4bd-5w5k5     Successfully assigned default/backend-deploy-6dd658b4bd-5w5k5 to atlan-worker2
37m         Normal    Pulling             pod/backend-deploy-6dd658b4bd-5w5k5     Pulling image "hashicorp/http-echo:0.2.3"
37m         Normal    Scheduled           pod/frontend-deploy-ccf677f5-878n8      Successfully assigned default/frontend-deploy-ccf677f5-878n8 to atlan-worker
37m         Normal    ScalingReplicaSet   deployment/backend-deploy               Scaled up replica set backend-deploy-6dd658b4bd from 0 to 1
37m         Normal    SuccessfulCreate    replicaset/frontend-deploy-ccf677f5     Created pod: frontend-deploy-ccf677f5-878n8
37m         Normal    SuccessfulCreate    replicaset/backend-deploy-6dd658b4bd    Created pod: backend-deploy-6dd658b4bd-5w5k5
37m         Normal    ScalingReplicaSet   deployment/frontend-deploy              Scaled up replica set frontend-deploy-ccf677f5 from 0 to 1
37m         Normal    Pulled              pod/backend-deploy-6dd658b4bd-5w5k5     Successfully pulled image "hashicorp/http-echo:0.2.3" in 5.477s (5.477s including waiting). Image size: 1535358 bytes.
34m         Normal    Pulling             pod/frontend-deploy-ccf677f5-878n8      Pulling image "curlimages/curl:8.0.1"
34m         Warning   Failed              pod/frontend-deploy-ccf677f5-878n8      Failed to pull image "curlimages/curl:8.0.1": rpc error: code = NotFound desc = failed to pull and unpack image "docker.io/curlimages/curl:8.0.1": failed to resolve reference "docker.io/curlimages/curl:8.0.1": docker.io/curlimages/curl:8.0.1: not found
34m         Warning   Failed              pod/frontend-deploy-ccf677f5-878n8      Error: ErrImagePull
21m         Normal    Created             pod/backend-deploy-6dd658b4bd-5w5k5     Created container: backend
21m         Normal    Started             pod/backend-deploy-6dd658b4bd-5w5k5     Started container backend
12m         Warning   Failed              pod/frontend-deploy-ccf677f5-878n8      Error: ImagePullBackOff
12m         Normal    BackOff             pod/frontend-deploy-ccf677f5-878n8      Back-off pulling image "curlimages/curl:8.0.1"
9m5s        Normal    SuccessfulCreate    replicaset/frontend-deploy-7956ddbd89   Created pod: frontend-deploy-7956ddbd89-vprh2
9m5s        Normal    Scheduled           pod/frontend-deploy-7956ddbd89-vprh2    Successfully assigned default/frontend-deploy-7956ddbd89-vprh2 to atlan-worker
9m5s        Normal    ScalingReplicaSet   deployment/frontend-deploy              Scaled up replica set frontend-deploy-7956ddbd89 from 0 to 1
9m5s        Normal    Pulling             pod/frontend-deploy-7956ddbd89-vprh2    Pulling image "curlimages/curl:latest"
8m58s       Normal    Created             pod/frontend-deploy-7956ddbd89-vprh2    Created container: frontend
8m58s       Normal    Pulled              pod/frontend-deploy-7956ddbd89-vprh2    Successfully pulled image "curlimages/curl:latest" in 7.025s (7.025s including waiting). Image size: 10184433 bytes.
8m58s       Normal    Started             pod/frontend-deploy-7956ddbd89-vprh2    Started container frontend
8m57s       Normal    SuccessfulDelete    replicaset/frontend-deploy-ccf677f5     Deleted pod: frontend-deploy-ccf677f5-878n8
8m57s       Normal    ScalingReplicaSet   deployment/frontend-deploy              Scaled down replica set frontend-deploy-ccf677f5 from 1 to 0
